,V1,V2,V4,DP,MT,8m,5,8l,TEO,2,F1,STPc,7A,46d,10,9/46v,9/46d,F5,TEpd,PBr,7m,7B,F2,STPi,ProM,F7,8B,STPr,24c
V1,0.0,0.06857098008730704,-0.009002072449759257,-0.08129882812500003,-0.08251688952155467,-0.2920532878686513,-0.08175998263888892,0.3677347250761158,-0.020200376157407385,-0.07706705729166666,-0.08317057291666666,-0.08343279803240741,-0.08513274016203698,-0.2572834207640247,0.005429243738164405,-0.100723200590984,-0.04854391887757621,0.12724427986802914,-0.11258047598379628,-0.08298972800925922,-0.07197980449581043,-0.05861371025128989,-0.08082730383387193,-0.07596683920220534,-0.0827525191608817,-0.029958286443905746,-0.08096453249299035,-0.07620035593856425,-0.07208886937053674
V2,0.06857098008730704,0.0,0.11108257951254777,0.04896148042701978,0.04420927832999724,-0.12363331327902947,0.043049242529436677,0.4511223118816714,0.1890652068173717,0.04391729808499217,0.0980803478535108,0.042001669598342534,0.03475004655639806,-0.10767051783838191,0.10447322623143471,0.05905929736376314,0.07577991117899502,0.19578811988393285,0.03424714185316777,0.04248862331647371,0.08466716662158918,0.09842659853972094,0.03859726421639807,0.056257027169823975,0.042088353866240186,0.10458624339749228,0.03748027946646319,0.0544365296945038,0.07358081586723322
V4,-0.009002072449759257,0.11108257951254777,0.0,0.024286953881259177,0.014947156759625463,-0.2256232611131726,0.018127389035241193,0.45774123549278256,0.023039124020148072,0.024124193464592547,0.021560716902092547,0.012916152594679264,0.00511827604790957,-0.16713041538879295,0.03426506557955214,0.01373883203143629,-0.011760091381494087,0.09823952284049663,-0.11632900387337042,0.014102543095543985,-0.04013132723490802,-0.04415406270585748,0.014818208011672024,0.019556602330838557,0.014760493501939254,0.03137588318299819,0.014162628253337153,0.018937201255586844,-0.005794516301490221
DP,-0.08129882812500003,0.04896148042701978,0.024286953881259177,0.0,-0.0010824277159991458,-0.2517549360986344,0.0006329571759258745,0.4453850071941714,0.006460684317129567,0.0011935763888888673,-9.04224537034981e-06,-0.0003436053240741255,-0.0026538990162036646,-0.2054329473157121,0.015461614976590349,0.03167146339244689,0.004999737083071956,0.0860252043471958,-0.14055718315972227,0.00025770399305558023,0.001809438849096956,-0.07381372471888253,0.0006388058304798716,0.004305694073257593,-0.0017581915327505304,0.012689463845446072,0.0008723092315466863,0.005848978552176393,-0.024024814104333075
MT,-0.08251688952155467,0.04420927832999724,0.014947156759625463,-0.0010824277159991458,0.0,-0.24707132044347663,-9.975881635257422e-05,0.4413566868816714,0.013629305501593497,0.0014087108835378614,0.005789678765482392,-0.0013013076638357102,-0.0022339864688526168,-0.20755889262282723,0.01844763611328537,0.04256387165404674,0.003382756805046183,0.08678580940979078,-0.06433745520442505,-0.0016611314197028382,0.011075794283025547,-0.056292796304210024,0.00043001487789623427,0.006377424714556462,-0.003175453407838119,0.025076520693788365,-0.0003321887969525428,0.0052308892392810835,-0.023127458301147957
8m,-0.2920532878686513,-0.12363331327902947,-0.2256232611131726,-0.2517549360986344,-0.24707132044347663,0.0,0.12655185437977168,0.42282460499509733,-0.28187492287403215,0.13775055888703602,-0.074869835553184,0.15373910505919713,-0.06589904942763167,-0.12603484464161588,-0.06396391363100667,-0.22315211186972983,-0.27204504293264153,-0.17341718922102886,-0.167196623174366,0.16077789151018113,-0.2839083813324829,-0.32568316747926995,-0.07143759274872144,-0.0638321534294996,0.1190651729640742,-0.26458977516144144,-0.07691339828250013,0.13664080973260379,-0.12976846441533288
5,-0.08175998263888892,0.043049242529436677,0.018127389035241193,0.0006329571759258745,-9.975881635257422e-05,0.12655185437977168,0.0,0.06768788426244277,0.0015417028356480844,-8.827561276977813e-05,-0.033980758101851916,-0.0019129467523277544,-0.0037354977215361684,-0.20032720316158814,-0.005064816907538572,0.012746328247938726,0.01285425471910727,0.08686428044298478,-0.1396348741319445,0.0017422175107576765,-0.03647282632648251,-0.08846668334156768,-0.00053959524280775,0.0013901048347012002,-0.005816769129407651,0.007209863151001611,-0.004082533778845598,0.003967408578260168,-0.02829164049280425
8l,0.3677347250761158,0.4511223118816714,0.45774123549278256,0.4453850071941714,0.4413566868816714,0.42282460499509733,0.06768788426244277,0.0,0.14397493417050627,0.23424410662776612,0.2691811061845884,0.2235937054855245,0.08605340863136422,0.06979921218423832,0.117201232599264,0.1849795342352992,0.11081652963743721,0.11652602332605358,0.19775213329114807,0.2773488038288031,0.11347409772876581,0.014345816150421242,0.1035013453715264,0.05564082670582006,0.04957034951425553,0.10454291107098052,0.09926266579846435,0.23788149992059215,0.2495503914855144
TEO,-0.020200376157407385,0.1890652068173717,0.023039124020148072,0.006460684317129567,0.013629305501593497,-0.28187492287403215,0.0015417028356480844,0.14397493417050627,0.0,-0.001535034872029023,0.00743272569444442,-0.0017459326596699354,-0.00578647547306449,-0.1480247966245167,0.00035074513831082066,0.0099062819581337,0.004368206853971018,0.08002628581540577,-0.10598867910879628,0.0007052951388888951,0.006802660724675003,-0.08758185749184796,-0.006347325760535538,0.0019225505616706218,-0.003818432902555735,-0.005356407253999135,-0.010226154907145985,0.006054839726946953,-0.016781975562666335
2,-0.07706705729166666,0.04391729808499217,0.024124193464592547,0.0011935763888888673,0.0014087108835378614,0.13775055888703602,-8.827561276977813e-05,0.23424410662776612,-0.001535034872029023,0.0,0.0003662109375,-0.002364791574152203,-0.005207775403051507,-0.14848383096805604,-9.523769366742707e-05,0.014872327390122508,0.0019847995293807152,0.08051483451209981,-0.10464138454861113,0.000560619212962965,0.006696019839178141,-0.086339889620583,-0.005759054619674825,-0.001378919382087812,-0.0033950593176941823,-0.0025578553487633215,-0.010001964831834326,0.003987372463240796,-0.01818352359507383
F1,-0.08317057291666666,0.0980803478535108,0.021560716902092547,-9.04224537034981e-06,0.005789678765482392,-0.074869835553184,-0.033980758101851916,0.2691811061845884,0.00743272569444442,0.0003662109375,0.0,-0.0020624112476329004,-0.004026711998644877,-0.15603881804363193,0.0021961424970547982,0.009294054635084537,0.004201717953099926,0.0862528687953101,-0.14094147858796297,0.0002350983796297057,0.006585623798892326,-0.08661435057251052,-0.0015959429725781182,-0.0008443801553534858,-0.002603885884680468,-0.0030525237803960825,-0.007447286104904388,0.004002250027872911,-0.024431715145999705
STPc,-0.08343279803240741,0.042001669598342534,0.012916152594679264,-0.0003436053240741255,-0.0013013076638357102,0.15373910505919713,-0.0019129467523277544,0.2235937054855245,-0.0017459326596699354,-0.002364791574152203,-0.0020624112476329004,0.0,-0.005546846269148142,-0.14612596873630626,0.0028189840071435046,0.010161076776049799,-0.006490353366729706,0.0788061272853953,-0.14141167534722224,-0.00027578848379627985,0.011797632275261288,-0.0842109890645411,-0.010822394872910146,-0.0037631363141417407,-0.008435826695998572,-0.0007180391978792444,-0.00737548303532945,0.004062890681727993,-0.03173378316420852
7A,-0.08513274016203698,0.03475004655639806,0.00511827604790957,-0.0026538990162036646,-0.0022339864688526168,-0.06589904942763167,-0.0037354977215361684,0.08605340863136422,-0.00578647547306449,-0.005207775403051507,-0.004026711998644877,-0.005546846269148142,0.0,-0.14911761108673777,0.0026485088769751253,0.010066387311062797,0.00021890661842102754,0.07818485771697581,-0.14382595486111105,-0.0020390263310184342,0.0020408584520001938,-0.09449466741278836,-0.014571719775505143,-0.006237517954806648,-0.010615007830257789,-0.0030360342682183294,-0.015671399337887693,0.0005978579812206675,-0.039059867973156026
46d,-0.2572834207640247,-0.10767051783838191,-0.16713041538879295,-0.2054329473157121,-0.20755889262282723,-0.12603484464161588,-0.20032720316158814,0.06979921218423832,-0.1480247966245167,-0.14848383096805604,-0.15603881804363193,-0.14612596873630626,-0.14911761108673777,0.0,0.04937805752850133,-0.1349413855273792,-0.09361908507257147,-0.06726389651328932,0.012424098691729113,0.03425613195684002,-0.18419200976863645,-0.07342636397263624,-0.17206673285600158,-0.16292255272354017,-0.16806995491943078,-0.16225309293687723,-0.1667834659050474,0.0037395336583114502,0.08589986745255765
10,0.005429243738164405,0.10447322623143471,0.03426506557955214,0.015461614976590349,0.01844763611328537,-0.06396391363100667,-0.005064816907538572,0.117201232599264,0.00035074513831082066,-9.523769366742707e-05,0.0021961424970547982,0.0028189840071435046,0.0026485088769751253,0.04937805752850133,0.0,0.010736830099266848,0.008740350229760913,0.09295338065236883,-0.029485026553911317,0.006499164537591973,0.015218223350503601,-0.009277389823787452,0.006742516157802025,0.01038652407307833,0.005455333425994524,-0.003076195546907523,0.0069092628037657755,0.007744917867921086,0.03724917871110256
9/46v,-0.100723200590984,0.05905929736376314,0.01373883203143629,0.03167146339244689,0.04256387165404674,-0.22315211186972983,0.012746328247938726,0.1849795342352992,0.0099062819581337,0.014872327390122508,0.009294054635084537,0.010161076776049799,0.010066387311062797,-0.1349413855273792,0.010736830099266848,0.0,0.01349579199138723,0.09314765726828014,-0.11884963283664743,0.030117205626119525,0.010949855324638491,-0.08525566664968795,-0.0014950876988649442,0.021074243995330977,0.02232952719116038,0.018841532916649084,0.0006755860834118943,-0.002817986012218332,-0.05303505077277744
9/46d,-0.04854391887757621,0.07577991117899502,-0.011760091381494087,0.004999737083071956,0.003382756805046183,-0.27204504293264153,0.01285425471910727,0.11081652963743721,0.004368206853971018,0.0019847995293807152,0.004201717953099926,-0.006490353366729706,0.00021890661842102754,-0.09361908507257147,0.008740350229760913,0.01349579199138723,0.0,0.07230019536922785,-0.11609615224353065,0.014249683016576059,0.002773327600258335,-0.0757844223531289,-0.0034430383585320468,0.004317057259210361,0.00223628073885046,0.005855379069101524,0.001813382638297334,-0.07146083097712116,-0.06642326689123462
F5,0.12724427986802914,0.19578811988393285,0.09823952284049663,0.0860252043471958,0.08678580940979078,-0.17341718922102886,0.08686428044298478,0.11652602332605358,0.08002628581540577,0.08051483451209981,0.0862528687953101,0.0788061272853953,0.07818485771697581,-0.06726389651328932,0.09295338065236883,0.09314765726828014,0.07230019536922785,0.0,-0.07653415379022133,0.08741878355469981,0.09538572405432497,0.0002807353833117199,0.07480470990187985,0.0842893970549645,0.08518323847947021,0.08803977234113308,0.07383426350312772,0.07811896027681456,0.044561823803315526
TEpd,-0.11258047598379628,0.03424714185316777,-0.11632900387337042,-0.14055718315972227,-0.06433745520442505,-0.167196623174366,-0.1396348741319445,0.19775213329114807,-0.10598867910879628,-0.10464138454861113,-0.14094147858796297,-0.14141167534722224,-0.14382595486111105,0.012424098691729113,-0.029485026553911317,-0.11884963283664743,-0.11609615224353065,-0.07653415379022133,0.0,-0.005780091925122438,-0.0033144656799306838,-0.08730023368878989,-0.019939302780516505,-0.005601611597864792,-0.0025278194375129015,0.0014154188530337286,-0.02183205820704634,-0.029372598363260338,-0.07385828466840691
PBr,-0.08298972800925922,0.04248862331647371,0.014102543095543985,0.00025770399305558023,-0.0016611314197028382,0.16077789151018113,0.0017422175107576765,0.2773488038288031,0.0007052951388888951,0.000560619212962965,0.0002350983796297057,-0.00027578848379627985,-0.0020390263310184342,0.03425613195684002,0.006499164537591973,0.030117205626119525,0.014249683016576059,0.08741878355469981,-0.005780091925122438,0.0,0.009962858805158292,-0.08663110753138242,-0.0033381507817342726,-0.0017044402154210991,-0.0006305562235901507,0.0007071611978366199,-0.0037538363236788164,-0.01047050237028957,0.002011347732536306
7m,-0.07197980449581043,0.08466716662158918,-0.04013132723490802,0.001809438849096956,0.011075794283025547,-0.2839083813324829,-0.03647282632648251,0.11347409772876581,0.006802660724675003,0.006696019839178141,0.006585623798892326,0.011797632275261288,0.0020408584520001938,-0.18419200976863645,0.015218223350503601,0.010949855324638491,0.002773327600258335,0.09538572405432497,-0.0033144656799306838,0.009962858805158292,0.0,-0.08688275483226965,0.007424131063327344,0.011031429035823243,0.01359168533692251,0.011904534539541545,0.006914565663859368,-0.008428841578207225,-0.048728455897002254
7B,-0.05861371025128989,0.09842659853972094,-0.04415406270585748,-0.07381372471888253,-0.056292796304210024,-0.32568316747926995,-0.08846668334156768,0.014345816150421242,-0.08758185749184796,-0.086339889620583,-0.08661435057251052,-0.0842109890645411,-0.09449466741278836,-0.07342636397263624,-0.009277389823787452,-0.08525566664968795,-0.0757844223531289,0.0002807353833117199,-0.08730023368878989,-0.08663110753138242,-0.08688275483226965,0.0,-0.005205628562117731,-0.008208928215780592,-0.0018259853361346223,-0.00029226102699120293,-0.004161004812039654,-0.028579797213188735,-0.0981212137506964
F2,-0.08082730383387193,0.03859726421639807,0.014818208011672024,0.0006388058304798716,0.00043001487789623427,-0.07143759274872144,-0.00053959524280775,0.1035013453715264,-0.006347325760535538,-0.005759054619674825,-0.0015959429725781182,-0.010822394872910146,-0.014571719775505143,-0.17206673285600158,0.006742516157802025,-0.0014950876988649442,-0.0034430383585320468,0.07480470990187985,-0.019939302780516505,-0.0033381507817342726,0.007424131063327344,-0.005205628562117731,0.0,-0.0016352958432745979,-0.0008191158444991464,-0.0013318517978897215,-0.0023884669743542974,-0.01044204810230967,0.0015605629958865552
STPi,-0.07596683920220534,0.056257027169823975,0.019556602330838557,0.004305694073257593,0.006377424714556462,-0.0638321534294996,0.0013901048347012002,0.05564082670582006,0.0019225505616706218,-0.001378919382087812,-0.0008443801553534858,-0.0037631363141417407,-0.006237517954806648,-0.16292255272354017,0.01038652407307833,0.021074243995330977,0.004317057259210361,0.0842893970549645,-0.005601611597864792,-0.0017044402154210991,0.011031429035823243,-0.008208928215780592,-0.0016352958432745979,0.0,0.0003204648172600022,-0.001616682527056379,-0.0033738042730306617,-0.010465981247604367,0.0007552852335184768
ProM,-0.0827525191608817,0.042088353866240186,0.014760493501939254,-0.0017581915327505304,-0.003175453407838119,0.1190651729640742,-0.005816769129407651,0.04957034951425553,-0.003818432902555735,-0.0033950593176941823,-0.002603885884680468,-0.008435826695998572,-0.010615007830257789,-0.16806995491943078,0.005455333425994524,0.02232952719116038,0.00223628073885046,0.08518323847947021,-0.0025278194375129015,-0.0006305562235901507,0.01359168533692251,-0.0018259853361346223,-0.0008191158444991464,0.0003204648172600022,0.0,0.003278610218930722,-0.005538629400753753,-0.013965574615738052,-0.008113207770423236
F7,-0.029958286443905746,0.10458624339749228,0.03137588318299819,0.012689463845446072,0.025076520693788365,-0.26458977516144144,0.007209863151001611,0.10454291107098052,-0.005356407253999135,-0.0025578553487633215,-0.0030525237803960825,-0.0007180391978792444,-0.0030360342682183294,-0.16225309293687723,-0.003076195546907523,0.018841532916649084,0.005855379069101524,0.08803977234113308,0.0014154188530337286,0.0007071611978366199,0.011904534539541545,-0.00029226102699120293,-0.0013318517978897215,-0.001616682527056379,0.003278610218930722,0.0,0.0028065073948471964,-0.014963121080016767,-0.06427961704337151
8B,-0.08096453249299035,0.03748027946646319,0.014162628253337153,0.0008723092315466863,-0.0003321887969525428,-0.07691339828250013,-0.004082533778845598,0.09926266579846435,-0.010226154907145985,-0.010001964831834326,-0.007447286104904388,-0.00737548303532945,-0.015671399337887693,-0.1667834659050474,0.0069092628037657755,0.0006755860834118943,0.001813382638297334,0.07383426350312772,-0.02183205820704634,-0.0037538363236788164,0.006914565663859368,-0.004161004812039654,-0.0023884669743542974,-0.0033738042730306617,-0.005538629400753753,0.0028065073948471964,0.0,-0.007243788310812765,-0.010594732859015854
STPr,-0.07620035593856425,0.0544365296945038,0.018937201255586844,0.005848978552176393,0.0052308892392810835,0.13664080973260379,0.003967408578260168,0.23788149992059215,0.006054839726946953,0.003987372463240796,0.004002250027872911,0.004062890681727993,0.0005978579812206675,0.0037395336583114502,0.007744917867921086,-0.002817986012218332,-0.07146083097712116,0.07811896027681456,-0.029372598363260338,-0.01047050237028957,-0.008428841578207225,-0.028579797213188735,-0.01044204810230967,-0.010465981247604367,-0.013965574615738052,-0.014963121080016767,-0.007243788310812765,0.0,-0.007911048409272592
24c,-0.07208886937053674,0.07358081586723322,-0.005794516301490221,-0.024024814104333075,-0.023127458301147957,-0.12976846441533288,-0.02829164049280425,0.2495503914855144,-0.016781975562666335,-0.01818352359507383,-0.024431715145999705,-0.03173378316420852,-0.039059867973156026,0.08589986745255765,0.03724917871110256,-0.05303505077277744,-0.06642326689123462,0.044561823803315526,-0.07385828466840691,0.002011347732536306,-0.048728455897002254,-0.0981212137506964,0.0015605629958865552,0.0007552852335184768,-0.008113207770423236,-0.06427961704337151,-0.010594732859015854,-0.007911048409272592,0.0
